0,1,2,3
0.9875,0.9725,0.9725,0.9725
0.9875,0.97375,0.97375,0.97375
0.9875,0.97125,0.97125,0.97125
0.985,0.96,0.96,0.985
0.985,0.97,0.97,0.97
